BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
latin quarters,solid polyester womens regular dress - purple,"['S', 'M', 'L', 'XL']",2399.0,1199.0,0.5,Westernwear
zink london,solid regular fit cotton womens trousers - grey,"['Small', 'X-Large']",1899.0,1139.0,0.4,Westernwear
sera,womens regular fit solid tie up neck peplum top - red,"['Large', 'Small', 'X-Large']",1198.0,359.0,0.7,Westernwear
rare,solid comfort fit polyester womens casual wear trousers - brown,"['Large', 'Medium', 'Small', 'X-Large']",1899.0,854.0,0.55,Westernwear
life,printed round neck polyester womens regular top - black,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1199.0,599.0,0.5,Westernwear
madame,floral print polyster womens dress - royal blue,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",2699.0,1619.0,0.4,Westernwear
and,solid cotton collar neck womens top - rose,"['8', '10', '12', '14', '18']",1799.0,899.0,0.5,Westernwear
fratini,printed viscose v-neck womens regular top - black,"['Large', 'Medium', 'Small', 'XX-Large']",899.0,449.0,0.5,Westernwear
adidas,striped regular fit blended womens sports tights - black,['X-Small'],1799.0,899.0,0.5,Westernwear
rare,checks cold shoulder polyester womens calf length jumpsuits - black,"['Large', 'Medium', 'Small', 'X-Large']",2099.0,839.0,0.6,Westernwear
zink london,floral viscose v neck womens dress - green,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",2799.0,1679.0,0.4,Westernwear
